,CPU Name,CPU Mark(higher is better),Rank(lower is better),CPU Value(higher is better),Price(USD),lien,Integer Math,Floating Point Math,Find Prime Numbers,Random String Sorting,Data Encryption,Data Compression,Physics,Extended Instructions,Single Thread
0,AMD A10 PRO-7850B APU,"3,453",1974,23.33,$148.02*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-4600M+APU&id=10,"12,826 MOps/Sec","3,514 MOps/Sec",9 Million Primes/Sec,"4,017 Thousand Strings/Sec",567.6 MBytes/Sec,"30,497 KBytes/Sec",212 Frames/Sec,771 Million Matrices/Sec,"1,070 MOps/Sec"
1,AMD A10-4600M APU,"1,926",2704,32.65,$58.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-4655M+APU&id=11,"11,243 MOps/Sec","2,976 MOps/Sec",8 Million Primes/Sec,"3,473 Thousand Strings/Sec",483.3 MBytes/Sec,"26,741 KBytes/Sec",167 Frames/Sec,682 Million Matrices/Sec,904 MOps/Sec
2,AMD A10-5700 APU,"2,694",2288,39.61,$68.02,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-5745M+APU&id=1962,"11,996 MOps/Sec","3,261 MOps/Sec",8 Million Primes/Sec,"3,635 Thousand Strings/Sec",524.1 MBytes/Sec,"28,920 KBytes/Sec",175 Frames/Sec,716 Million Matrices/Sec,954 MOps/Sec
3,AMD A10-5750M APU,"1,983",2668,21.09,$94.02,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-5757M+APU&id=1992,"12,823 MOps/Sec","3,532 MOps/Sec",9 Million Primes/Sec,"4,045 Thousand Strings/Sec",566.2 MBytes/Sec,"31,108 KBytes/Sec",202 Frames/Sec,771 Million Matrices/Sec,"1,060 MOps/Sec"
4,AMD A10-5800B APU,"3,021",2151,67.14,$44.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-5800K+APU&id=1446,"19,670 MOps/Sec","5,199 MOps/Sec",12 Million Primes/Sec,"6,314 Thousand Strings/Sec",899.3 MBytes/Sec,"50,406 KBytes/Sec",265 Frames/Sec,"1,246 Million Matrices/Sec","1,493 MOps/Sec"
5,AMD A10-5800K APU,"2,969",2181,141.45,$20.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6700+APU&id=1936,"21,173 MOps/Sec","5,642 MOps/Sec",11 Million Primes/Sec,"6,507 Thousand Strings/Sec",947.7 MBytes/Sec,"51,653 KBytes/Sec",261 Frames/Sec,"1,304 Million Matrices/Sec","1,605 MOps/Sec"
6,AMD A10-6700 APU,"3,111",2115,80.78,$38.51,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6700T+APU&id=2254,"15,900 MOps/Sec","4,257 MOps/Sec",9 Million Primes/Sec,"4,759 Thousand Strings/Sec",701.5 MBytes/Sec,"37,821 KBytes/Sec",219 Frames/Sec,960 Million Matrices/Sec,"1,290 MOps/Sec"
7,AMD A10-6700T APU,"2,299",2493,26.12,$88.02,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6790K+APU&id=2117,"20,110 MOps/Sec","5,396 MOps/Sec",11 Million Primes/Sec,"6,611 Thousand Strings/Sec",968.6 MBytes/Sec,"53,289 KBytes/Sec",265 Frames/Sec,"1,294 Million Matrices/Sec","1,557 MOps/Sec"
8,AMD A10-6790K APU,"3,069",2133,73.07,$42.00,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6800B+APU&id=2155,"21,173 MOps/Sec","5,795 MOps/Sec",12 Million Primes/Sec,"6,165 Thousand Strings/Sec",983.6 MBytes/Sec,"51,440 KBytes/Sec",260 Frames/Sec,"1,328 Million Matrices/Sec","1,655 MOps/Sec"
9,AMD A10-6800B APU,"3,088",2126,24.12,$128.02*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6800K+APU&id=1935,"21,347 MOps/Sec","5,619 MOps/Sec",12 Million Primes/Sec,"6,809 Thousand Strings/Sec",976.3 MBytes/Sec,"55,026 KBytes/Sec",279 Frames/Sec,"1,356 Million Matrices/Sec","1,608 MOps/Sec"
10,AMD A10-6800K APU,"3,208",2076,67.48,$47.53,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7300+APU&id=2287,"9,892 MOps/Sec","2,933 MOps/Sec",8 Million Primes/Sec,"3,280 Thousand Strings/Sec",457.0 MBytes/Sec,"27,494 KBytes/Sec",157 Frames/Sec,"1,007 Million Matrices/Sec",860 MOps/Sec
11,AMD A10-7700K APU,"3,204",2077,136.85,$23.41,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7800+APU&id=2262,"19,106 MOps/Sec","5,400 MOps/Sec",11 Million Primes/Sec,"6,173 Thousand Strings/Sec",883.7 MBytes/Sec,"54,006 KBytes/Sec",208 Frames/Sec,"2,016 Million Matrices/Sec","1,459 MOps/Sec"
12,AMD A10-7800 APU,"3,190",2083,60.60,$52.64,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7850K+APU&id=2133,"19,847 MOps/Sec","5,542 MOps/Sec",13 Million Primes/Sec,"6,732 Thousand Strings/Sec",952.5 MBytes/Sec,"57,907 KBytes/Sec",255 Frames/Sec,"2,086 Million Matrices/Sec","1,512 MOps/Sec"
13,AMD A10-7850K APU,"3,426",1984,61.18,$56.00,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7860K&id=2722,"19,005 MOps/Sec","5,339 MOps/Sec",13 Million Primes/Sec,"6,402 Thousand Strings/Sec",908.9 MBytes/Sec,"55,063 KBytes/Sec",240 Frames/Sec,"2,007 Million Matrices/Sec","1,496 MOps/Sec"
14,AMD A10-7860K,"3,281",2048,61.68,$53.19,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7870K&id=2531,"19,506 MOps/Sec","5,510 MOps/Sec",13 Million Primes/Sec,"6,605 Thousand Strings/Sec",952.0 MBytes/Sec,"57,883 KBytes/Sec",244 Frames/Sec,"2,144 Million Matrices/Sec","1,481 MOps/Sec"
15,AMD A10-7870K,"3,406",1990,6.58,$517.20,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7890K&id=2744,"20,914 MOps/Sec","5,760 MOps/Sec",13 Million Primes/Sec,"6,886 Thousand Strings/Sec",972.2 MBytes/Sec,"60,730 KBytes/Sec",244 Frames/Sec,"2,255 Million Matrices/Sec","1,556 MOps/Sec"
