,Videocard Name,"Passmark G3D Mark
(higher is better)","Rank
(lower is better)","Videocard Value
(higher is better)","Price
(USD)",lien,DirectX 9,DirectX 10,DirectX 11,DirectX 12,GPU Compute
0,Barco MXRT 2600,900,1105,4.52,$199.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Barco+MXRT+5400&id=3354,NA,NA,NA,NA,NA
1,Barco MXRT 5400,1161,967,5.72,$203.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Barco+MXRT+5450&id=2526,29 Frames/Sec,5 Frames/Sec,10 Frames/Sec,0 Frames/Sec,606 Ops/Sec
2,Barco MXRT 5450,1079,1004,5.40,$199.99*,https://www.videocardbenchmark.net/gpu.php?gpu=Barco+MXRT+5500&id=2699,NA,NA,NA,NA,NA
3,Barco MXRT 5500,2701,554,9.04,$299.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Barco+MXRT+5600&id=4158,59 Frames/Sec,11 Frames/Sec,23 Frames/Sec,0 Frames/Sec,1360 Ops/Sec
4,Barco MXRT 5600,2465,594,3.50,$704.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Barco+MXRT+7100&id=2621,NA,NA,NA,NA,NA
5,Barco MXRT 7400,900,1104,9.10,$99.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Barco+MXRT+7500&id=3353,87 Frames/Sec,17 Frames/Sec,26 Frames/Sec,0 Frames/Sec,1934 Ops/Sec
6,Barco MXRT 7500,3753,445,12.55,$299.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Barco+MXRT+7600&id=4014,NA,NA,NA,NA,NA
7,Barco MXRT 7600,4943,364,8.20,$602.59*,https://www.videocardbenchmark.net/gpu.php?gpu=BASICDISPLAY&id=3144,NA,NA,NA,NA,NA
8,Dell 8100,2,2459,0.00,$999.11*,https://www.videocardbenchmark.net/gpu.php?gpu=Dell+8200&id=658,NA,NA,NA,NA,NA
9,EAH5450,134,1904,1.22,$109.99*,https://www.videocardbenchmark.net/gpu.php?gpu=EIZO+Quadro+MED-XN51LP&id=4000,84 Frames/Sec,24 Frames/Sec,35 Frames/Sec,20 Frames/Sec,2146 Ops/Sec
10,FireGL V3600,179,1831,1.12,$160.99*,https://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V5100&id=396,NA,NA,NA,NA,NA
11,FireGL V5100,92,2031,0.81,$114.96*,https://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V5200&id=397,NA,NA,NA,NA,NA
12,FireGL V5200,114,1962,0.86,$133.40*,https://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V5600&id=398,NA,NA,NA,NA,NA
13,FireGL V5600,341,1668,1.52,$225.00*,https://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V7100&id=399,NA,NA,NA,NA,NA
14,FireGL V7100,71,2088,0.22,$328.67*,https://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V7200&id=400,NA,NA,NA,NA,NA
15,FireGL V7300,128,1918,0.11,"$1,189.99*",https://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V7350&id=402,NA,NA,NA,NA,NA
16,FireGL V7350,110,1977,0.93,$119.42*,https://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V7600&id=403,NA,NA,NA,NA,NA
17,FireGL V7700,660,1316,9.43,$69.99*,https://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V8600&id=405,NA,NA,NA,NA,NA
18,FireGL V8650,550,1457,1.84,$298.99*,https://www.videocardbenchmark.net/gpu.php?gpu=FireGL+X1&id=407,NA,NA,NA,NA,NA
19,FireMV 2200 PCIe,36,2219,0.40,$89.99*,https://www.videocardbenchmark.net/gpu.php?gpu=FireMV+2250&id=416,NA,NA,NA,NA,NA
20,FireMV 2250,45,2176,0.44,$104.00*,https://www.videocardbenchmark.net/gpu.php?gpu=FireMV+2260&id=417,NA,NA,NA,NA,NA
21,FireMV 2260,117,1949,1.33,$88.08*,https://www.videocardbenchmark.net/gpu.php?gpu=FireMV+2400+PCIe&id=418,NA,NA,NA,NA,NA
22,FirePro 2270,144,1878,1.08,$134.00*,https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+2450&id=423,NA,NA,NA,NA,NA
23,FirePro 2450,51,2156,0.57,$89.99*,https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+2460&id=237,7 Frames/Sec,1 Frames/Sec,1 Frames/Sec,0 Frames/Sec,32 Ops/Sec
24,FirePro 2460,170,1842,2.03,$83.99*,https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+3D+V3700&id=429,NA,NA,NA,NA,NA
25,FirePro 3D V3700,178,1834,2.10,$84.99*,https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+3D+V3750&id=430,NA,NA,NA,NA,NA
26,FirePro 3D V3750,341,1667,6.71,$50.88*,https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+3D+V3800&id=431,NA,NA,NA,NA,NA
27,FirePro 3D V3800,472,1549,3.15,$149.99*,https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+3D+V4800&id=433,23 Frames/Sec,4 Frames/Sec,8 Frames/Sec,0 Frames/Sec,345 Ops/Sec
28,FirePro 3D V4800,853,1133,5.33,$159.99*,https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+3D+V5700&id=435,NA,NA,NA,NA,NA
29,FirePro 3D V5700,546,1460,1.71,$319.99*,https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+3D+V5800&id=436,33 Frames/Sec,5 Frames/Sec,10 Frames/Sec,0 Frames/Sec,593 Ops/Sec
30,FirePro 3D V5800,1231,934,6.04,$204.00*,https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+3D+V7750&id=437,NA,NA,NA,NA,NA
31,FirePro 3D V7750,545,1464,1.56,$350.00*,https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+3D+V7800&id=438,NA,NA,NA,NA,NA
32,FirePro 3D V7800,1867,740,3.11,$599.99*,https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+3D+V8700&id=440,NA,NA,NA,NA,NA
33,FirePro 3D V8700,1206,945,7.09,$170.07*,https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+3D+V8750&id=441,NA,NA,NA,NA,NA
34,FirePro 3D V8750,1271,920,1.03,"$1,230.99*",https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+3D+V8800&id=442,NA,NA,NA,NA,NA
35,FirePro 3D V8800,2437,599,5.74,$424.99*,https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+3D+V9800&id=443,NA,NA,NA,NA,NA
36,FirePro 3D V9800,2811,535,1.13,"$2,499.00*",https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+M2000&id=2268,9 Frames/Sec,2 Frames/Sec,4 Frames/Sec,0 Frames/Sec,258 Ops/Sec
37,FirePro M4000,1612,815,22.14,$72.83*,https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+M4000+Mobility+Pro&id=3360,33 Frames/Sec,7 Frames/Sec,9 Frames/Sec,8 Frames/Sec,705 Ops/Sec
38,FirePro M6000,1820,759,5.58,$325.99*,https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+M6000+Mobility+Pro&id=2437,30 Frames/Sec,7 Frames/Sec,10 Frames/Sec,9 Frames/Sec,721 Ops/Sec
39,FirePro R5000,2646,563,24.06,$109.99*,https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+RG220&id=427,NA,NA,NA,NA,NA
40,FirePro RG220,335,1675,0.52,$650.18*,https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+S10000&id=3330,70 Frames/Sec,21 Frames/Sec,29 Frames/Sec,24 Frames/Sec,2068 Ops/Sec
