,Drive Name,Size,"Disk Rating
(higher is better)","Rank
(lower is better)","Drive Value
(higher is better)","Price
(USD)",lien,Sequential Read,Sequential Write,Random Seek Read Write (IOPS 32KQD20),IOPS 4KQD1
0,Acer SSD FA100 1TB,953.9 GB,"20,813",1072,166.51,$124.99,https://www.harddrivebenchmark.net/hdd.php?hdd=Acer%20SSD%20FA100%20256GB&id=30823,"1,508 MBytes/Sec","1,072 MBytes/Sec",905 MBytes/Sec,59 MBytes/Sec
1,Acer SSD FA100 256GB,238.5 GB,"12,593",2153,629.96,$19.99,https://www.harddrivebenchmark.net/hdd.php?hdd=Acer%20SSD%20FA100%20512GB&id=29601,"2,467 MBytes/Sec","1,500 MBytes/Sec",990 MBytes/Sec,63 MBytes/Sec
2,Acer SSD FA100 512GB,476.9 GB,"17,385",1456,579.69,$29.99,https://www.harddrivebenchmark.net/hdd.php?hdd=Acer%20SSD%20RE100%202.5%20256GB&id=29936,473 MBytes/Sec,344 MBytes/Sec,182 MBytes/Sec,27 MBytes/Sec
3,Acer SSD SA100 240GB,223.6 GB,"3,491",4889,174.64,$19.99,https://www.harddrivebenchmark.net/hdd.php?hdd=Acer%20SSD%20SA100%20480GB&id=28598,479 MBytes/Sec,318 MBytes/Sec,177 MBytes/Sec,24 MBytes/Sec
4,Acer SSD SA100 480GB,447.1 GB,"3,419",5035,148.74,$22.99,https://www.harddrivebenchmark.net/hdd.php?hdd=ACPI%20SSD2F-M%20SSD%20120GB&id=10807,NA,NA,NA,NA
5,ADATA FALCON,953.9 GB,"18,116",1363,301.99,$59.99,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20FALCON&id=26778,"2,187 MBytes/Sec","1,060 MBytes/Sec","1,127 MBytes/Sec",32 MBytes/Sec
6,ADATA LEGEND 700,953.9 GB,"15,717",1648,157.19,$99.99,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20LEGEND%20700&id=31683,"2,270 MBytes/Sec","1,392 MBytes/Sec",609 MBytes/Sec,35 MBytes/Sec
7,ADATA LEGEND 710,953.9 GB,"17,837",1395,379.52,$47.00,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20LEGEND%20710&id=35067,"3,139 MBytes/Sec","1,633 MBytes/Sec","1,114 MBytes/Sec",57 MBytes/Sec
8,ADATA LEGEND 740,931.5 GB,"21,576",959,479.57,$44.99,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20LEGEND%20740&id=32249,"2,687 MBytes/Sec","1,870 MBytes/Sec","1,739 MBytes/Sec",69 MBytes/Sec
9,ADATA LEGEND 750,931.5 GB,"24,184",716,264.91,$91.29,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20LEGEND%20750&id=30885,"3,111 MBytes/Sec","2,432 MBytes/Sec","1,146 MBytes/Sec",101 MBytes/Sec
10,ADATA LEGEND 800,931.5 GB,"21,103",1042,469.07,$44.99,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20LEGEND%20840&id=29805,"3,570 MBytes/Sec","3,185 MBytes/Sec","2,447 MBytes/Sec",82 MBytes/Sec
11,ADATA LEGEND 840,953.9 GB,"31,390",429,161.07,$194.88,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20LEGEND%20840&id=30192,"3,853 MBytes/Sec","3,068 MBytes/Sec","2,104 MBytes/Sec",89 MBytes/Sec
12,ADATA LEGEND 850 LITE,931.5 GB,"28,557",508,595.07,$47.99,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20LEGEND%20850%20LITE&id=35133,"3,951 MBytes/Sec","2,968 MBytes/Sec","1,187 MBytes/Sec",50 MBytes/Sec
13,ADATA LEGEND 960,953.9 GB,"43,256",151,597.70,$72.37,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20LEGEND%20960&id=34307,"5,371 MBytes/Sec","4,365 MBytes/Sec","2,047 MBytes/Sec",78 MBytes/Sec
14,ADATA Permier SP550 480GB,447.1 GB,"3,918",4099,37.31,$105.00*,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20Permier%20SP550%20960GB&id=20422,436 MBytes/Sec,393 MBytes/Sec,258 MBytes/Sec,34 MBytes/Sec
15,ADATA Permier SP600 32GB,29.8 GB,948,8271,8.30,$114.16*,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20Permier%20SP600%2064GB&id=17990,250 MBytes/Sec,102 MBytes/Sec,74 MBytes/Sec,20 MBytes/Sec
16,ADATA Premier Pro SP900 128GB,119.2 GB,"2,675",6464,11.55,$231.51,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20Premier%20Pro%20SP900%20256GB&id=3397,387 MBytes/Sec,322 MBytes/Sec,288 MBytes/Sec,28 MBytes/Sec
17,ADATA Premier Pro SP900 256GB,238.5 GB,"3,579",4720,41.07,$87.14*,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA%20Premier%20Pro%20SP900%20512GB&id=19380,494 MBytes/Sec,329 MBytes/Sec,333 MBytes/Sec,24 MBytes/Sec
