,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD),lien,Database Operations,Memory Read Cached,Memory Read Uncached,Memory Write,Latency,Memory Threaded
0,A-DATA Technology DDR4 3000 8GB,31,17.2,13.7,$389.99*,https://www.memorybenchmark.net/ram.php?ram=A-DATA+Technology+DDR4+3200+2OZ+4GB&id=8748,"5,669 KOps/Sec","31,471 MBytes/Sec","18,692 MBytes/Sec","13,014 MBytes/Sec",40 ns (lower is better),"43,112 MBytes/Sec"
1,Corsair CMD128GX4M8A2400C14 16GB,32,12.1,9.1,$999.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD128GX4M8A2666C15+16GB&id=9262,"5,707 KOps/Sec","28,195 MBytes/Sec","14,515 MBytes/Sec","13,576 MBytes/Sec",36 ns (lower is better),"62,706 MBytes/Sec"
2,Corsair CMD128GX4M8A2666C15 16GB,36,14.5,13.6,$879.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD128GX4M8B2800C14+16GB&id=8957,"3,939 KOps/Sec","27,745 MBytes/Sec","14,570 MBytes/Sec","10,538 MBytes/Sec",38 ns (lower is better),"44,750 MBytes/Sec"
3,Corsair CMD128GX4M8B2800C14 16GB,27,14.8,10.6,$969.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD128GX4M8B3000C16+16GB&id=10192,"4,112 KOps/Sec","27,864 MBytes/Sec","14,579 MBytes/Sec","10,057 MBytes/Sec",33 ns (lower is better),"48,411 MBytes/Sec"
4,Corsair CMD128GX4M8B3000C16 16GB,26,14.8,10.2,$977.79*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD128GX4M8B3200C16+16GB&id=10903,NA,"27,411 MBytes/Sec","12,188 MBytes/Sec","12,108 MBytes/Sec",31 ns (lower is better),NA
5,Corsair CMD128GX4M8B3200C16 16GB,31,12.2,12.1,$999.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2A2400C14+8GB&id=9090,NA,"32,012 MBytes/Sec","18,605 MBytes/Sec","13,818 MBytes/Sec",22 ns (lower is better),NA
6,Corsair CMD16GX4M2A2666C15 8GB,28,17.1,13.5,$115.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2B2400C10+8GB&id=8851,"5,220 KOps/Sec","31,673 MBytes/Sec","17,934 MBytes/Sec","14,004 MBytes/Sec",27 ns (lower is better),"31,185 MBytes/Sec"
7,Corsair CMD16GX4M2B2400C10 8GB,27,18.1,14.1,$192.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2B2800C14+8GB&id=13025,NA,"31,768 MBytes/Sec","18,049 MBytes/Sec","13,309 MBytes/Sec",23 ns (lower is better),NA
8,Corsair CMD16GX4M2B3000C15 8GB,29,18.1,13.9,$100.98*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2B3200C14+8GB&id=9687,"5,434 KOps/Sec","30,184 MBytes/Sec","17,381 MBytes/Sec","12,698 MBytes/Sec",27 ns (lower is better),"28,078 MBytes/Sec"
9,Corsair CMD16GX4M2B3200C14 8GB,23,17.0,12.5,$219.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2B3200C16+8GB&id=8228,"5,118 KOps/Sec","30,973 MBytes/Sec","18,364 MBytes/Sec","13,100 MBytes/Sec",39 ns (lower is better),"37,260 MBytes/Sec"
10,Corsair CMD16GX4M2B3200C16 8GB,30,17.9,14.0,$129.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2B3466C16+8GB&id=11301,"5,075 KOps/Sec","32,613 MBytes/Sec","22,628 MBytes/Sec","14,590 MBytes/Sec",36 ns (lower is better),"45,156 MBytes/Sec"
11,Corsair CMD16GX4M2B3466C16 8GB,21,20.8,17.0,$351.58*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2B3600C18+8GB&id=10681,"6,253 KOps/Sec","33,026 MBytes/Sec","20,415 MBytes/Sec","17,542 MBytes/Sec",23 ns (lower is better),"42,922 MBytes/Sec"
12,Corsair CMD16GX4M2B3600C18 8GB,22,20.2,17.4,$239.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2B3733C17+8GB&id=10524,"5,735 KOps/Sec","34,227 MBytes/Sec","22,223 MBytes/Sec","16,524 MBytes/Sec",34 ns (lower is better),"47,859 MBytes/Sec"
13,Corsair CMD16GX4M2B3733C17 8GB,24,17.2,12.4,$259.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2B3866C18+8GB&id=11813,"6,590 KOps/Sec","33,322 MBytes/Sec","19,529 MBytes/Sec","17,454 MBytes/Sec",23 ns (lower is better),"44,654 MBytes/Sec"
14,Corsair CMD16GX4M2B3866C18 8GB,22,19.5,17.5,$259.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2C3333C16+8GB&id=12838,"5,397 KOps/Sec","29,551 MBytes/Sec","21,960 MBytes/Sec","13,817 MBytes/Sec",38 ns (lower is better),"43,962 MBytes/Sec"
15,Corsair CMD16GX4M2C3333C16 8GB,22,17.7,13.8,$169.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2E4000C19+8GB&id=10690,"5,520 KOps/Sec","32,774 MBytes/Sec","18,279 MBytes/Sec","14,265 MBytes/Sec",28 ns (lower is better),"40,235 MBytes/Sec"
16,Corsair CMD16GX4M2E4000C19 8GB,27,18.6,14.6,$279.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M2K4133C19+8GB&id=12452,NA,"33,277 MBytes/Sec","19,927 MBytes/Sec","17,960 MBytes/Sec",19 ns (lower is better),NA
17,Corsair CMD16GX4M4A2666C15 4GB,37,14.6,11.8,$371.91*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4A2666C16+4GB&id=6538,"4,412 KOps/Sec","27,853 MBytes/Sec","15,201 MBytes/Sec","11,768 MBytes/Sec",39 ns (lower is better),"36,645 MBytes/Sec"
18,Corsair CMD16GX4M4A2666C16 4GB,37,14.6,11.5,$399.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4A2800C16+4GB&id=6300,"4,702 KOps/Sec","26,294 MBytes/Sec","15,885 MBytes/Sec","12,192 MBytes/Sec",38 ns (lower is better),"46,173 MBytes/Sec"
19,Corsair CMD16GX4M4A2800C16 4GB,35,15.1,11.3,$253.19*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B2133C10+4GB&id=7496,"4,245 KOps/Sec","25,629 MBytes/Sec","14,736 MBytes/Sec","11,325 MBytes/Sec",31 ns (lower is better),"47,331 MBytes/Sec"
20,Corsair CMD16GX4M4B2133C10 4GB,24,15.8,11.7,$204.67*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B2400C10+4GB&id=9212,"4,065 KOps/Sec","25,153 MBytes/Sec","13,539 MBytes/Sec","9,683 MBytes/Sec",33 ns (lower is better),"43,658 MBytes/Sec"
21,Corsair CMD16GX4M4B2400C10 4GB,25,13.7,10.2,$145.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B3000C14+4GB&id=8100,NA,"22,403 MBytes/Sec","15,815 MBytes/Sec","13,069 MBytes/Sec",25 ns (lower is better),NA
22,Corsair CMD16GX4M4B3000C14 4GB,25,15.8,13.1,$452.44*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B3000C15+4GB&id=6382,"5,248 KOps/Sec","29,801 MBytes/Sec","16,644 MBytes/Sec","12,894 MBytes/Sec",33 ns (lower is better),"40,409 MBytes/Sec"
23,Corsair CMD16GX4M4B3000C15 4GB,32,16.4,12.9,$445.07*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B3200C14+4GB&id=9773,"5,204 KOps/Sec","30,619 MBytes/Sec","17,812 MBytes/Sec","13,297 MBytes/Sec",38 ns (lower is better),"42,402 MBytes/Sec"
24,Corsair CMD16GX4M4B3200C14 4GB,28,13.0,9.2,$199.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B3200C15+4GB&id=7591,NA,"24,827 MBytes/Sec","17,744 MBytes/Sec","14,063 MBytes/Sec",22 ns (lower is better),NA
25,Corsair CMD16GX4M4B3200C15 4GB,22,17.7,14.1,$297.49*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B3200C16+4GB&id=6477,"6,031 KOps/Sec","27,961 MBytes/Sec","15,660 MBytes/Sec","11,483 MBytes/Sec",34 ns (lower is better),"58,772 MBytes/Sec"
26,Corsair CMD16GX4M4B3200C16 4GB,34,15.7,11.5,$259.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B3200C16-R+4GB&id=9353,"5,155 KOps/Sec","28,954 MBytes/Sec","16,664 MBytes/Sec","14,439 MBytes/Sec",29 ns (lower is better),"42,213 MBytes/Sec"
27,Corsair CMD16GX4M4B3300C16 4GB,23,16.5,13.1,$270.78*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B3333C16+4GB&id=9977,NA,"29,025 MBytes/Sec","19,410 MBytes/Sec","15,887 MBytes/Sec",18 ns (lower is better),NA
28,Corsair CMD16GX4M4B3400C16 4GB,25,18.8,16.3,$249.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B3600C18+4GB&id=9100,"5,240 KOps/Sec","29,163 MBytes/Sec","14,718 MBytes/Sec","11,660 MBytes/Sec",38 ns (lower is better),"50,221 MBytes/Sec"
29,Corsair CMD16GX4M4B3600C18 4GB,30,16.6,12.3,$583.80*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4C3200C15+4GB&id=8424,NA,"20,492 MBytes/Sec","14,275 MBytes/Sec","11,971 MBytes/Sec",25 ns (lower is better),NA
30,Corsair CMD16GX4M4C3200C15 4GB,25,14.3,12.0,$194.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4C3200C16+4GB&id=8870,"5,693 KOps/Sec","29,941 MBytes/Sec","18,399 MBytes/Sec","14,403 MBytes/Sec",35 ns (lower is better),"46,974 MBytes/Sec"
31,Corsair CMD16GX4M4C3200C16 4GB,28,18.3,15.8,$429.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M2A2666C15+16GB&id=8194,"5,034 KOps/Sec","30,532 MBytes/Sec","17,158 MBytes/Sec","13,712 MBytes/Sec",29 ns (lower is better),"31,515 MBytes/Sec"
32,Corsair CMD32GX4M2A2666C15 16GB,29,17.3,13.4,$440.19*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M2A2800C16+16GB&id=8528,NA,"30,623 MBytes/Sec","15,692 MBytes/Sec","10,697 MBytes/Sec",26 ns (lower is better),NA
33,Corsair CMD32GX4M2A2800C16 16GB,26,15.7,10.7,$229.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M2B2800C14+16GB&id=8955,"5,716 KOps/Sec","31,894 MBytes/Sec","18,231 MBytes/Sec","14,625 MBytes/Sec",36 ns (lower is better),"37,801 MBytes/Sec"
34,Corsair CMD32GX4M2B2800C14 16GB,33,16.5,13.4,$259.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M2B3000C15+16GB&id=8139,"5,541 KOps/Sec","31,657 MBytes/Sec","18,128 MBytes/Sec","13,375 MBytes/Sec",37 ns (lower is better),"39,062 MBytes/Sec"
35,Corsair CMD32GX4M2B3000C15 16GB,30,18.2,14.0,$196.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M2B3466C16+16GB&id=11595,"5,428 KOps/Sec","28,710 MBytes/Sec","16,151 MBytes/Sec","11,997 MBytes/Sec",35 ns (lower is better),"29,878 MBytes/Sec"
36,Corsair CMD32GX4M2B3466C16 16GB,34,16.2,12.0,$699.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M2C3200C14M+16GB&id=9911,NA,"29,618 MBytes/Sec","21,294 MBytes/Sec","16,938 MBytes/Sec",18 ns (lower is better),NA
37,Corsair CMD32GX4M2C3200C16 16GB,32,17.1,13.9,$209.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M2C3466C16W+16GB&id=12071,"7,536 KOps/Sec","34,139 MBytes/Sec","19,235 MBytes/Sec","16,682 MBytes/Sec",25 ns (lower is better),"42,449 MBytes/Sec"
38,Corsair CMD32GX4M4A2400C12 8GB,22,17.7,13.1,$259.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4A2400C14+8GB&id=6618,"5,505 KOps/Sec","30,894 MBytes/Sec","16,120 MBytes/Sec","12,083 MBytes/Sec",34 ns (lower is better),"36,598 MBytes/Sec"
39,Corsair CMD32GX4M4A2400C14 8GB,32,16.7,12.2,$917.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4A2666C15+8GB&id=6482,"4,808 KOps/Sec","29,033 MBytes/Sec","15,520 MBytes/Sec","12,617 MBytes/Sec",38 ns (lower is better),"48,849 MBytes/Sec"
40,Corsair CMD32GX4M4A2666C15 8GB,35,15.9,12.8,$219.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4A2666C16+8GB&id=6588,"4,473 KOps/Sec","30,904 MBytes/Sec","16,624 MBytes/Sec","12,716 MBytes/Sec",37 ns (lower is better),"40,767 MBytes/Sec"
41,Corsair CMD32GX4M4A2666C16 8GB,40,14.1,11.4,$671.25*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4A2800C16+8GB&id=7393,"5,455 KOps/Sec","30,429 MBytes/Sec","15,628 MBytes/Sec","11,586 MBytes/Sec",42 ns (lower is better),"42,272 MBytes/Sec"
42,Corsair CMD32GX4M4A2800C16 8GB,36,15.7,11.3,$439.95*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4B2133C10+8GB&id=13386,"3,591 KOps/Sec","29,200 MBytes/Sec","15,382 MBytes/Sec","12,200 MBytes/Sec",27 ns (lower is better),"26,775 MBytes/Sec"
43,Corsair CMD32GX4M4B2400C10 8GB,31,16.1,11.5,$639.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4B2800C14+8GB&id=11084,"3,884 KOps/Sec","32,992 MBytes/Sec","20,268 MBytes/Sec","15,011 MBytes/Sec",23 ns (lower is better),"34,327 MBytes/Sec"
44,Corsair CMD32GX4M4B3000C15 8GB,34,15.1,12.5,$249.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4B3200C16+8GB&id=8167,"5,775 KOps/Sec","31,619 MBytes/Sec","18,224 MBytes/Sec","14,433 MBytes/Sec",37 ns (lower is better),"47,778 MBytes/Sec"
45,Corsair CMD32GX4M4B3200C16 8GB,31,18.9,14.5,$379.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4B3333C16+8GB&id=8836,"6,288 KOps/Sec","31,602 MBytes/Sec","18,086 MBytes/Sec","14,875 MBytes/Sec",32 ns (lower is better),"43,392 MBytes/Sec"
46,Corsair CMD32GX4M4B3333C16 8GB,30,17.5,14.5,$799.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4B3466C16+8GB&id=12734,"10,050 KOps/Sec","33,246 MBytes/Sec","15,565 MBytes/Sec","17,318 MBytes/Sec",30 ns (lower is better),"102,871 MBytes/Sec"
