,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD),lien,Database Operations,Memory Read Cached,Memory Read Uncached,Memory Write,Latency,Memory Threaded
0,Corsair CMH32GX5M2B5200C40 16GB,46,19.1,16.1,$309.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH32GX5M2B5600C36+16GB&id=19413,"10,205 KOps/Sec","39,837 MBytes/Sec","27,119 MBytes/Sec","20,642 MBytes/Sec",47 ns (lower is better),"69,310 MBytes/Sec"
1,Corsair CMH32GX5M2B5600C36 16GB,43,20.2,17.0,$329.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH32GX5M2B5600C40+16GB&id=19837,"10,392 KOps/Sec","39,971 MBytes/Sec","25,610 MBytes/Sec","19,468 MBytes/Sec",49 ns (lower is better),"69,916 MBytes/Sec"
2,Corsair CMH32GX5M2B5600C40 16GB,45,19.0,16.1,$349.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH32GX5M2B6000C40+16GB&id=19698,"11,627 KOps/Sec","40,262 MBytes/Sec","30,047 MBytes/Sec","22,338 MBytes/Sec",47 ns (lower is better),"72,722 MBytes/Sec"
3,Corsair CMH32GX5M2B6000C40 16GB,42,21.7,17.1,$399.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH32GX5M2B6200C36+16GB&id=19661,"11,697 KOps/Sec","40,488 MBytes/Sec","30,228 MBytes/Sec","22,545 MBytes/Sec",46 ns (lower is better),"75,547 MBytes/Sec"
4,Corsair CMH32GX5M2B6200C36 16GB,38,23.5,20.5,$469.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX5M2A4800C40+16GB&id=18102,"9,076 KOps/Sec","35,517 MBytes/Sec","19,882 MBytes/Sec","15,968 MBytes/Sec",45 ns (lower is better),"65,789 MBytes/Sec"
5,Corsair CMK32GX5M2A4800C40 16GB,41,16.8,14.5,$339.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX5M2B5200C40+16GB&id=18097,"9,420 KOps/Sec","37,136 MBytes/Sec","22,354 MBytes/Sec","17,431 MBytes/Sec",46 ns (lower is better),"67,317 MBytes/Sec"
6,Corsair CMK32GX5M2B5200C40 16GB,41,17.9,15.1,$289.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX5M2B5600C36+16GB&id=18149,"10,004 KOps/Sec","38,590 MBytes/Sec","24,216 MBytes/Sec","18,949 MBytes/Sec",45 ns (lower is better),"71,398 MBytes/Sec"
7,Corsair CMK32GX5M2B5600C36 16GB,39,18.7,16.0,$319.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK32GX5M2B6000C36+16GB&id=19227,"10,153 KOps/Sec","39,277 MBytes/Sec","26,983 MBytes/Sec","20,947 MBytes/Sec",46 ns (lower is better),"69,983 MBytes/Sec"
8,Corsair CMK64GX5M2B5200C40 32GB,43,18.3,16.2,$479.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK64GX5M2B5600C40+32GB&id=18871,"12,496 KOps/Sec","41,132 MBytes/Sec","24,994 MBytes/Sec","19,574 MBytes/Sec",48 ns (lower is better),"69,225 MBytes/Sec"
9,Corsair CMK64GX5M2B5600C40 32GB,43,20.6,17.7,$634.99,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMT32GX5M2B5200C38+16GB&id=18142,"10,068 KOps/Sec","33,224 MBytes/Sec","17,907 MBytes/Sec","15,242 MBytes/Sec",39 ns (lower is better),"74,383 MBytes/Sec"
