,id,name,path
0,cat_id_2424,"Clôture, grillage et brise vue",/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/cat_id_2424.cat
1,cat_id_3267,Terrasse et sol extérieur,/jardin-et-terrasse/terrasse-et-sol-exterieur/cat_id_3267.cat
2,cat_id_2,"Abri de jardin, garage, carport, bûcher et rangement",/jardin-et-terrasse/abri-de-jardin-garage-carport-et-rangement/cat_id_2.cat
3,cat_id_3404,"Portail, portillon et porte de garage",/jardin-et-terrasse/portail-portillon-porte-de-garage-et-motorisation/cat_id_3404.cat
4,cat_id_1112,Luminaire et éclairage extérieur,/luminaire-et-eclairage/luminaire-et-eclairage-exterieur/cat_id_1112.cat
5,cat_id_1290,"Arche, treillage et décoration du jardin",/jardin-et-terrasse/fontaine-statue-et-decoration-du-jardin/cat_id_1290.cat
6,cat_id_1385,Étendoir à linge extérieur,/jardin-et-terrasse/abri-de-jardin-garage-carport-et-rangement/etendoir-a-linge/cat_id_1385.cat
7,cat_id_1402,Salon bas de jardin,/jardin-et-terrasse/salon-de-jardin-table-chaise-et-fauteuil-de-jardin/salon-bas-de-jardin/cat_id_1402.cat
8,cat_id_1578,Table de jardin,/jardin-et-terrasse/salon-de-jardin-table-chaise-et-fauteuil-de-jardin/table-de-jardin/cat_id_1578.cat
9,cat_id_1548,Chaise et fauteuil de jardin,/jardin-et-terrasse/salon-de-jardin-table-chaise-et-fauteuil-de-jardin/chaise-et-fauteuil-de-jardin/cat_id_1548.cat
10,cat_id_2181,Piscine et spa,/jardin-et-terrasse/piscine-et-spa/cat_id_2181.cat
11,cat_id_146,Barbecue et plancha,/jardin-et-terrasse/barbecue-et-plancha/cat_id_146.cat
12,cat_id_1955,Tonnelle et pergola,/jardin-et-terrasse/parasol-tonnelle-store-de-terrasse-et-voile-d-ombrage/tonnelle/cat_id_1955.cat
13,cat_id_1530,Bain de soleil et transat,/jardin-et-terrasse/salon-de-jardin-table-chaise-et-fauteuil-de-jardin/bain-de-soleil-hamac-et-transat/cat_id_1530.cat
14,cat_id_1277,Jeux d'extérieur pour enfant,/jardin-et-terrasse/balancoire-trampoline-et-toboggan/cat_id_1277.cat
15,cat_id_1963,Store banne,/jardin-et-terrasse/parasol-tonnelle-store-de-terrasse-et-voile-d-ombrage/store-banne/cat_id_1963.cat
16,cat_id_0002248,Loisir extérieur,/loisir-exterieur/cat_id_0002248.cat
17,cat_id_1456,Entretenir votre jardin,/jardin-et-terrasse/tondeuse-et-outil-motorise/cat_id_1456.cat
18,cat_id_1498,Tondeuse et tracteur tondeuse,/jardin-et-terrasse/tondeuse-et-outil-motorise/tondeuse-robot-tondeuse-et-tondeuse-autoportee/cat_id_1498.cat
19,cat_id_1725,Nettoyeur haute pression,/jardin-et-terrasse/tondeuse-et-outil-motorise/nettoyeur-haute-pression/cat_id_1725.cat
20,cat_id_1493,Taille-haie,/jardin-et-terrasse/tondeuse-et-outil-motorise/taille-haie/cat_id_1493.cat
21,cat_id_1470,Débroussailleuse,/jardin-et-terrasse/tondeuse-et-outil-motorise/debroussailleuse/cat_id_1470.cat
22,cat_id_1465,Coupe-bordure,/jardin-et-terrasse/tondeuse-et-outil-motorise/coupe-bordure/cat_id_1465.cat
23,cat_id_1514,Tronçonneuse et élagueuse,/jardin-et-terrasse/tondeuse-et-outil-motorise/tronconneuse-et-elagueuse/cat_id_1514.cat
24,cat_id_1461,Broyeur de végétaux,/jardin-et-terrasse/tondeuse-et-outil-motorise/broyeur-de-vegetaux/cat_id_1461.cat
25,cat_id_1457,Aspirateur et souffleur,/jardin-et-terrasse/tondeuse-et-outil-motorise/aspirateur-et-souffleur/cat_id_1457.cat
26,cat_id_5443,Huile et carburant pour moteur,/jardin-et-terrasse/tondeuse-et-outil-motorise/huile-piece-de-rechange-et-accessoire-pour-outil-motorise/huile-pour-moteur/cat_id_5443.cat
27,cat_id_2550,Accessoire pour outil motorisé,/jardin-et-terrasse/tondeuse-et-outil-motorise/huile-piece-de-rechange-et-accessoire-pour-outil-motorise/cat_id_2550.cat
